Date,Close,Revenue,GDP
2018/8/30,111.949997,30.1,20691.45835
2018/8/31,112.330002,30.1,20691.45835
2018/9/4,111.709999,30.1,20694.6688
2018/9/5,108.489998,30.1,20694.6688
2018/9/6,108.739998,30.1,20694.6688
2018/9/7,108.209999,30.1,20694.6688
2018/9/10,109.379997,30.1,20694.6688
2018/9/11,111.239998,30.1,20694.6688
2018/9/12,111.709999,30.1,20694.6688
2018/9/13,112.910004,30.1,20694.6688
2018/9/14,113.370003,30.1,20694.6688
2018/9/17,112.139999,30.1,20694.6688
2018/9/18,113.209999,30.1,20694.6688
2018/9/19,111.699997,30.1,20694.6688
2018/9/20,113.57,30.1,20694.6688
2018/9/21,114.260002,30.1,20694.6688
2018/9/24,114.669998,30.1,20694.6688
2018/9/25,114.449997,30.1,20694.6688
2018/9/26,113.980003,30.1,20694.6688
2018/9/27,114.410004,30.1,20694.6688
2018/9/28,114.370003,30.1,20694.6688
2018/10/1,115.610001,29.1,20825.63443
2018/10/2,115.150002,29.1,20825.63443
2018/10/3,115.169998,29.1,20825.63443
2018/10/4,112.790001,29.1,20825.63443
2018/10/5,112.129997,29.1,20825.63443
2018/10/8,110.849998,29.1,20825.63443
2018/10/9,112.260002,29.1,20825.63443
2018/10/10,106.160004,29.1,20825.63443
2018/10/11,105.910004,29.1,20825.63443
2018/10/12,109.57,29.1,20825.63443
2018/10/15,107.599998,29.1,20825.63443
2018/10/16,111,29.1,20825.63443
2018/10/17,110.709999,29.1,20825.63443
2018/10/18,108.5,29.1,20825.63443
2018/10/19,108.660004,29.1,20825.63443
2018/10/22,109.629997,29.1,20825.63443
2018/10/23,108.099998,29.1,20825.63443
2018/10/24,102.32,29.1,20825.63443
2018/10/25,108.300003,29.1,20825.63443
2018/10/26,106.959999,29.1,20825.63443
2018/10/29,103.849998,29.1,20825.63443
2018/10/30,103.730003,29.1,20825.63443
2018/10/31,106.809998,29.1,20825.63443
2018/11/1,105.919998,29.1,20779.79517
2018/11/2,106.160004,29.1,20779.79517
2018/11/5,107.510002,29.1,20779.79517
2018/11/6,107.720001,29.1,20779.79517
2018/11/7,111.959999,29.1,20779.79517
2018/11/8,111.75,29.1,20779.79517
